OBJECTID,ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,HASC_2,CCN_2,CCA_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,,,id_1,id_2,obj_id
137,105,IND,India,11,Gujarat,137,Banas Kantha,IN.GJ.BK,NA,,District,District,,"Banaskantha, Palanpur",,,11,137,137
138,105,IND,India,11,Gujarat,138,Bharuch,IN.GJ.BR,NA,,District,District,,,,,11,138,138
139,105,IND,India,11,Gujarat,139,Bhavnagar,IN.GJ.BV,NA,,District,District,,Bhaunagar,,,11,139,139
140,105,IND,India,11,Gujarat,140,Botad,,NA,,District,District,,<Null>,,,11,140,140
141,105,IND,India,11,Gujarat,141,Chhota Udaipur,,NA,,District,District,,<Null>,,,11,141,141
142,105,IND,India,11,Gujarat,142,Dahod,IN.GJ.DA,NA,,District,District,,Dohad,,,11,142,142
143,105,IND,India,11,Gujarat,143,Devbhumi Dwarka,,NA,,District,District,,,,,11,143,143
144,105,IND,India,11,Gujarat,144,Gandhinagar,IN.GJ.GA,NA,,District,District,,,,,11,144,144
145,105,IND,India,11,Gujarat,145,Gir Somnath,,NA,,District,District,,,,,11,145,145
146,105,IND,India,11,Gujarat,146,Jamnagar,IN.GJ.JA,NA,,District,District,,,,,11,146,146
147,105,IND,India,11,Gujarat,147,Junagadh,IN.GJ.JU,NA,,District,District,,,,,11,147,147
148,105,IND,India,11,Gujarat,148,Kachchh,IN.GJ.KA,NA,,District,District,,Kutch,,,11,148,148
149,105,IND,India,11,Gujarat,149,Kheda,IN.GJ.KH,NA,,District,District,,Kaira,,,11,149,149
150,105,IND,India,11,Gujarat,150,Mahesana,IN.GJ.MA,NA,,District,District,,"Mehasana, Mehsana",,,11,150,150
151,105,IND,India,11,Gujarat,151,Mahisagar,,NA,,District,District,,<Null>,,,11,151,151
152,105,IND,India,11,Gujarat,152,Morbi,,NA,,District,District,,,,,11,152,152
153,105,IND,India,11,Gujarat,153,Narmada,IN.GJ.NR,NA,,District,District,,,,,11,153,153
154,105,IND,India,11,Gujarat,154,Navsari,IN.GJ.NV,NA,,District,District,,,,,11,154,154
155,105,IND,India,11,Gujarat,155,Panch Mahals,IN.GJ.PM,NA,,District,District,,"Godhra, Panchmahal",,,11,155,155
156,105,IND,India,11,Gujarat,156,Patan,IN.GJ.PA,NA,,District,District,,,,,11,156,156
157,105,IND,India,11,Gujarat,157,Porbandar,IN.GJ.PO,NA,,District,District,,,,,11,157,157
158,105,IND,India,11,Gujarat,158,Rajkot,IN.GJ.RA,NA,,District,District,,,,,11,158,158
159,105,IND,India,11,Gujarat,159,Sabar Kantha,IN.GJ.SK,NA,,District,District,,"Sabarkantha, Himatnagar",,,11,159,159
160,105,IND,India,11,Gujarat,160,Surat,IN.GJ.SR,NA,,District,District,,,,,11,160,160
161,105,IND,India,11,Gujarat,161,Surendranagar,IN.GJ.SN,NA,,District,District,,,,,11,161,161
162,105,IND,India,11,Gujarat,162,Tapi,IN.GJ.TP,NA,,District,District,,,,,11,162,162
